Código;Nome;Categoria;Referência;Preço;Preço de venda;Em promoção;Estoque;Disponível;URL imagem;URL produto;Descrição
85;Chaveiro Taça da Copa do Mundo;ACESSÓRIOS;;9.90;9.90;NAO;10;SIM;https://images.tcdn.com.br/img/img_prod/1457323/chaveiro_taa_da_copa_do_mundo_1_20260409152916_c339b0606679.jpg;https://www.mgafigurinhas.com.br/souvenirs/chaveiro-taca-da-copa-do-mundo;"Desperte a paixão pelo futebol com o chaveiro taça da copa do mundo, um acessório essencial para fãs e colecionadores. Com design fiel ao troféu mais cobiçad..."
75;Porta Figurinhas Grande (até 600 figurinhas);ACESSÓRIOS;;54.90;54.90;NAO;2;SIM;https://images.tcdn.com.br/img/img_prod/1457323/caixa_para_guardar_figurinhas_2_20260409152211_71bc6d70e24e.jpg;https://www.mgafigurinhas.com.br/souvenirs/caixa-para-guardar-figurinhas;"Organize sua coleção com a caixa para guardar figurinhas, projetada especialmente para colecionadores apaixonados por futebol. Com design robusto e tampa ref..."
145;Álbum capa dura;ÁLBUNS E KITS;;74.90;74.90;NAO;5;SIM;https://images.tcdn.com.br/img/img_prod/1457323/album_capa_dura_1_20260423145223_687523c7701a.jpg;https://www.mgafigurinhas.com.br/album/album-capa-dura;"Adquira o Álbum Capa Dura oficial da Copa do Mundo FIFA 2026. Produto Panini com acabamento resistente, ideal para colecionadores e fãs do futebol. Organize e valorize sua coleção com qualidade e estilo."
141;Álbum capa dura OURO;ÁLBUNS E KITS;;99.00;99.00;NAO;3;SIM;https://images.tcdn.com.br/img/img_prod/1457323/lbum_capa_dura_ouro_1_20260423145255_5cef4060db0f.jpg;https://www.mgafigurinhas.com.br/album/album-capa-dura-ouro;"Guarde momentos da Copa FIFA 2026 com o Álbum capa dura ouro, edição oficial Panini com acabamento premium e páginas resistentes para colecionar figurinhas e recordações."
143;Álbum capa dura PRATA;ÁLBUNS E KITS;;89.90;89.90;NAO;5;SIM;https://images.tcdn.com.br/img/img_prod/1457323/lbum_capa_dura_prata_1_20260423145449_c18295c1ecf6.jpg;https://www.mgafigurinhas.com.br/album/album-capa-dura-prata;"Álbum capa dura prata oficial da FIFA World Cup 2026, edição ilustrada da Panini. Ideal para colecionadores e fãs de futebol, com design resistente e exclusivo para guardar figurinhas da Copa."
147;Álbum Copa do Mundo (brochura);ÁLBUNS E KITS;;26.90;26.90;NAO;29;SIM;https://images.tcdn.com.br/img/img_prod/1457323/album_copa_do_mundo_brochura_1_20260423151458_325501b839d1.jpg;https://www.mgafigurinhas.com.br/album/album-copa-do-mundo-brochura;"Colecione as figurinhas oficiais da Copa do Mundo FIFA 2026 com o álbum brochura da Panini. Design colorido, prático e perfeito para fãs e colecionadores apaixonados por futebol."
131;Álbum Copa do Mundo Brochura + 10 pacotes figurinhas;ÁLBUNS E KITS;;94.90;94.90;NAO;10;SIM;https://images.tcdn.com.br/img/img_prod/1457323/lmbum_copa_do_mundo_brochura_10_pacotes_figurinha_1_20260423115522_0cb4994f1a8b.jpg;https://www.mgafigurinhas.com.br/album/almbum-copa-do-mundo-brochura-10-pacotes-figurinhas;"Complete sua coleção com o Álbum Oficial da Copa do Mundo 2026 em formato brochura, acompanhado de 10 pacotes de figurinhas Panini. Ideal para fãs e colecionadores que querem reviver a emoção do maior torneio de futebol."
139;Álbum Copa do Mundo Brochura + 100 pacotes figurinhas;ÁLBUNS E KITS;;724.90;724.90;NAO;10;SIM;https://images.tcdn.com.br/img/img_prod/1457323/lmbum_copa_do_mundo_brochura_100_pacotes_figurinh_1_20260423134907_f4fb61163e64.jpg;https://www.mgafigurinhas.com.br/album/almbum-copa-do-mundo-brochura-100-pacotes-figurinhas;Complete sua coleção da Copa do Mundo 2026 com o álbum brochura oficial Panini e 100 pacotes de figurinhas. Produto ideal para fãs e colecionadores aproveitarem cada momento do mundial.
133;Álbum Copa do Mundo Brochura + 20 pacotes figurinhas;ÁLBUNS E KITS;;164.90;164.90;NAO;5;SIM;https://images.tcdn.com.br/img/img_prod/1457323/lmbum_copa_do_mundo_brochura_20_pacotes_figurinha_1_20260423122909_bf9ca2f1ea44.jpg;https://www.mgafigurinhas.com.br/album/almbum-copa-do-mundo-brochura-20-pacotes-figurinhas;"Colecione a Copa do Mundo 2026 com o álbum brochura oficial da Panini e 20 pacotes de figurinhas. Produto exclusivo para fãs e colecionadores, com design colorido e espaço para completar sua coleção."
135;Álbum Copa do Mundo Brochura + 30 pacotes figurinhas;ÁLBUNS E KITS;;234.90;234.90;NAO;5;SIM;https://images.tcdn.com.br/img/img_prod/1457323/lmbum_copa_do_mundo_brochura_30_pacotes_figurinha_1_20260423132859_4121554f5a50.jpg;https://www.mgafigurinhas.com.br/album/almbum-copa-do-mundo-brochura-30-pacotes-figurinhas;Complete seu álbum oficial da Copa do Mundo FIFA 2026 com 30 pacotes de figurinhas Panini. Produto brochura com ilustrações exclusivas para colecionadores e fãs do futebol.
137;Álbum Copa do Mundo Brochura + 50 pacotes figurinhas;ÁLBUNS E KITS;;374.90;374.90;NAO;5;SIM;https://images.tcdn.com.br/img/img_prod/1457323/lmbum_copa_do_mundo_brochura_50_pacotes_figurinha_1_20260423133515_cc6a20d43dd5.jpg;https://www.mgafigurinhas.com.br/album/almbum-copa-do-mundo-brochura-50-pacotes-figurinhas;"Complete sua coleção com o álbum brochura oficial da Copa do Mundo 2026 e 50 pacotes de figurinhas Panini. Produto exclusivo, ideal para fãs de futebol e colecionadores."
11915;Kit 100 Figurinhas Avulsas 2026 Sem Repetidas;ÁLBUNS E KITS;;139.90;139.90;NAO;55;SIM;https://images.tcdn.com.br/img/img_prod/1457323/kit_100_figurinhas_avulsas_2026_sem_repetidas_1_20260618160739_3d2a45310425.jpg;https://www.mgafigurinhas.com.br/album/kit-100-figurinhas-avulsas-copa-2026-sem-repetidas;"Kit com 100 figurinhas 2026, todas diferentes entre si, sem nenhuma repetição. Ideal para quem quer avançar rápido no álbum, aumentar a coleção e evitar troc..."
9709;Kit 100 Figurinhas Sem Repetição 2026 Copa 2026;ÁLBUNS E KITS;;139.90;139.90;NAO;26;SIM;https://images.tcdn.com.br/img/img_prod/1457323/kit_100_figurinhas_sem_repetio_2026_copa_do_mundo_1_20260525074438_d74f6cbb10f8.png;https://www.mgafigurinhas.com.br/album/kit-100-figurinhas-sem-repeticao-2026-copa-do-mundo-fifa;"Kit com 100 figurinhas da Copa do Mundo 2026, todas diferentes entre si, sem repetição. Ideal para quem quer evoluir rápido no álbum, aumentar a coleção e ev..."
;Almofadas Copa 2026;Almofadas Copa 2026;;;;NAO;;NAO;;https://www.mgafigurinhas.com.br/souvenirs/almofadas-copa-2026;Almofadas Copa 2026
;Ballers;Ballers;;;;NAO;;NAO;;https://www.mgafigurinhas.com.br/souvenirs/ballers;Ballers
;Bronze;Bronze;;;;NAO;;NAO;;https://www.mgafigurinhas.com.br/legends/bronze;Bronze
;Chaveiros;Chaveiros;;;;NAO;;NAO;;https://www.mgafigurinhas.com.br/souvenirs/chaveiros;Chaveiros
9707;0- Kit 14 Figurinhas Coca-Cola- Coleção Completa Oficial Panini 2026;Coca-Cola;;99.90;99.90;NAO;310;SIM;https://images.tcdn.com.br/img/img_prod/1457323/kit_14_figurinhas_especial_completa_coca_cola_copa_1_20260525070446_1eaa8ea2048c.jpg;https://www.mgafigurinhas.com.br/coca-cola/kit-14-figurinhas-especial-completa-coca-cola-copa-2026-oficial-panini;"KIT COM 14 FIGURINHAS DA COPA 2026 &ndash; EDIÇÃO ESPECIAL Entre no clima da maior competição de futebol do mundo com este incrível kit contendo 14 figurinha..."
119;CC1;Coca-Cola;;12.00;12.00;NAO;21;SIM;https://images.tcdn.com.br/img/img_prod/1457323/cc1_1_20260429085034_7bdca628c11a.jpg;https://www.mgafigurinhas.com.br/coca-cola/cc6;"Carteira CC6 com design exclusivo da FIFA, apresentando o jogador Lamine Yamal da Espanha. Produto oficial, ideal para fãs de futebol e colecionadores de itens esportivos autênticos."
111;CC10;Coca-Cola;;12.00;12.00;NAO;2;SIM;https://images.tcdn.com.br/img/img_prod/1457323/cc10_1_20260415163840_803b7558688a.png;https://www.mgafigurinhas.com.br/coca-cola/cc10;"Colecione o cartão CC10 de Virgil Van Dijk, zagueiro da seleção holandesa. Produto oficial FIFA, ideal para fãs e colecionadores do futebol mundial."
103;CC11;Coca-Cola;;12.00;12.00;NAO;6;SIM;https://images.tcdn.com.br/img/img_prod/1457323/cc11_1_20260415163914_bc091a6252a1.png;https://www.mgafigurinhas.com.br/coca-cola/cc11;"Carta Alphonso Davies FIFA - Coleção Oficial do Mundial Descubra a emoção de ter em mãos a carta oficial de Alphonso Davies, um dos jogadores mais rápidos e ..."
101;CC12;Coca-Cola;;12.00;12.00;NAO;4;SIM;https://images.tcdn.com.br/img/img_prod/1457323/cc12_1_20260415163957_d18c991efbae.png;https://www.mgafigurinhas.com.br/coca-cola/cc12;"Cartão colecionável oficial CC12 do goleiro Emiliano Martínez da Argentina, destaque na Copa do Mundo FIFA 2022. Ideal para fãs de futebol e colecionadores."
117;CC13;Coca-Cola;;12.00;12.00;NAO;6;SIM;https://images.tcdn.com.br/img/img_prod/1457323/cc13_1_20260415164037_5b27ecc27d34.png;https://www.mgafigurinhas.com.br/coca-cola/cc13;"Cartão CC13 Raúl Jiménez da seleção mexicana, perfeito para colecionadores e fãs de futebol. Produto oficial FIFA com design exclusivo e alta qualidade. Garanta já sua peça única!"
107;CC14;Coca-Cola;;12.00;12.00;NAO;7;SIM;https://images.tcdn.com.br/img/img_prod/1457323/cc14_1_20260415164138_e5968e99b703.png;https://www.mgafigurinhas.com.br/coca-cola/cc14;"Adquira o card colecionável CC14 de Lautaro Martínez, jogador da seleção argentina na Copa FIFA. Item exclusivo para fãs e colecionadores de futebol."
113;CC2;Coca-Cola;;12.00;12.00;NAO;14;SIM;https://images.tcdn.com.br/img/img_prod/1457323/cc2_1_20260415164215_6013f57a73fc.png;https://www.mgafigurinhas.com.br/coca-cola/cc2;"Cartão colecionável oficial FIFA do jogador Joshua Kimmich da seleção Alemanha, item exclusivo para fãs e colecionadores de futebol. Perfeito para quem busca qualidade e autenticidade."
123;CC3;Coca-Cola;;12.00;12.00;NAO;12;SIM;https://images.tcdn.com.br/img/img_prod/1457323/cc3_1_20260415164252_9bec2171597c.png;https://www.mgafigurinhas.com.br/coca-cola/cc3;"Adquira o cartão oficial CC3 de Harry Kane, craque da Inglaterra, ideal para colecionadores e fãs de futebol. Produto exclusivo com design autêntico FIFA, perfeito para completar sua coleção."
115;CC4;Coca-Cola;;12.00;12.00;NAO;23;SIM;https://images.tcdn.com.br/img/img_prod/1457323/cc4_1_20260415164329_18f76a88a75e.png;https://www.mgafigurinhas.com.br/coca-cola/cc4;"Adquira a cartela CC4 com Santiago Giménez da seleção do México, coleção oficial FIFA 2022. Produto exclusivo para fãs de futebol, perfeito para colecionar e reviver momentos inesquecíveis."
125;CC5;Coca-Cola;;12.00;12.00;NAO;27;SIM;https://images.tcdn.com.br/img/img_prod/1457323/cc5_1_20260415164404_5a64f6dfdf26.png;https://www.mgafigurinhas.com.br/coca-cola/cc5;"Adquira o cartão oficial FIFA CC5 de Josko Gvardiol, representante da seleção da Croácia. Item essencial para fãs e colecionadores de futebol com design autêntico e alta qualidade."
121;CC6;Coca-Cola;;12.00;12.00;NAO;23;SIM;https://images.tcdn.com.br/img/img_prod/1457323/cc6_1_20260415164439_284d8d55a6e3.png;https://www.mgafigurinhas.com.br/coca-cola/cc6-121;"CC6 é o card colecionável oficial de Federico Valverde, destaque da seleção uruguaia na FIFA. Ideal para fãs de futebol e colecionadores, com imagem de alta qualidade e design exclusivo."
109;CC7;Coca-Cola;;12.00;12.00;NAO;11;SIM;https://images.tcdn.com.br/img/img_prod/1457323/cc7_1_20260415164514_dfb80b88e09e.png;https://www.mgafigurinhas.com.br/coca-cola/cc7;Adquira o cartão colecionável oficial do jogador Jefferson Lerma da Colômbia no FIFA. Ideal para fãs e colecionadores que buscam autenticidade e emoção no mundo do futebol.
105;CC8;Coca-Cola;;12.00;12.00;NAO;3;SIM;https://images.tcdn.com.br/img/img_prod/1457323/cc8_1_20260415164558_420138e9feb1.png;https://www.mgafigurinhas.com.br/coca-cola/cc8;Cartão colecionável do jogador Enner Valencia da seleção do Equador FIFA 22. Perfeito para fãs e colecionadores que buscam destaque e autenticidade em cards oficiais de futebol.
11917;000 - Pedido mínimo R$20;FIGURINHAS;;0.00;0.00;NAO;5;SIM;https://images.tcdn.com.br/img/img_prod/1457323/0_pedido_mnimo_r20_1_20260611234255_ac85f4c80e09.png;https://www.mgafigurinhas.com.br/figurinhas/0-pedido-minimo-r-20;"Produto informativo para avisar que o pedido mínimo no site é de R$20,00. Para finalizar sua compra, adicione figurinhas ao carrinho até atingir o valor míni..."
9711;001 - FWC 00;FIGURINHAS;;5.00;5.00;NAO;15;SIM;https://images.tcdn.com.br/img/img_prod/1457323/001_fwc_00_9711_1_c33ef4edd326d79767640305f14e038d.png;https://www.mgafigurinhas.com.br/figurinhas/001-fwc-00;
9713;002 - FWC 01;FIGURINHAS;;10.00;10.00;NAO;1;SIM;https://images.tcdn.com.br/img/img_prod/1457323/002_fwc_01_9713_1_5de3ffbf879b3ba33a2bff2bee99a054.png;https://www.mgafigurinhas.com.br/figurinhas/002-fwc-01;
9715;003 - FWC 02;FIGURINHAS;;10.00;10.00;NAO;14;SIM;https://images.tcdn.com.br/img/img_prod/1457323/003_fwc_02_9715_1_38da0c7e0fdff88cd77de517ed748164.png;https://www.mgafigurinhas.com.br/figurinhas/003-fwc-02;
9717;004 - FWC 03;FIGURINHAS;;40.00;40.00;NAO;16;SIM;https://images.tcdn.com.br/img/img_prod/1457323/004_fwc_03_9717_1_6ab4e6a7ae9f99b9d82d38a349d90ca8.png;https://www.mgafigurinhas.com.br/figurinhas/004-fwc-03;
9719;005 - FWC 04;FIGURINHAS;;40.00;40.00;NAO;12;SIM;https://images.tcdn.com.br/img/img_prod/1457323/005_fwc_04_9719_1_c9e21893fa41e8c446ba8e5951e39deb.png;https://www.mgafigurinhas.com.br/figurinhas/005-fwc-04;
9721;006 - FWC 05;FIGURINHAS;;40.00;40.00;NAO;10;SIM;https://images.tcdn.com.br/img/img_prod/1457323/006_fwc_05_9721_1_e01f41eb9366a97cac1844003f1acf65.png;https://www.mgafigurinhas.com.br/figurinhas/006-fwc-05;
9723;007 - FWC 06;FIGURINHAS;;60.00;60.00;NAO;38;SIM;https://images.tcdn.com.br/img/img_prod/1457323/007_fwc_06_9723_1_4dcb202cb4f6c0385815b93c861d11fb.png;https://www.mgafigurinhas.com.br/figurinhas/007-fwc-06;
9725;008 - FWC 07;FIGURINHAS;;60.00;60.00;NAO;3;SIM;https://images.tcdn.com.br/img/img_prod/1457323/008_fwc_07_9725_1_037f487899079275571d0bad0f4340ee.png;https://www.mgafigurinhas.com.br/figurinhas/008-fwc-07;
9727;009 - FWC 08;FIGURINHAS;;70.00;70.00;NAO;4;SIM;https://images.tcdn.com.br/img/img_prod/1457323/009_fwc_08_9727_1_8f7c2bd47623494b52fbe7d1f321d0ba.png;https://www.mgafigurinhas.com.br/figurinhas/009-fwc-08;
9729;010 - MEX 01;FIGURINHAS;;5.00;5.00;NAO;;NAO;https://images.tcdn.com.br/img/img_prod/1457323/010_mex_01_9729_1_41fdcc67403738e933ab5f29491734d6.png;https://www.mgafigurinhas.com.br/figurinhas/010-mex-01;
9737;014 - MEX 05;FIGURINHAS;;1.50;1.50;NAO;8;SIM;https://images.tcdn.com.br/img/img_prod/1457323/014_mex_05_9737_1_f319a28498df75cad4cb697b57fae425.png;https://www.mgafigurinhas.com.br/figurinhas/014-mex-05;
9739;015 - MEX 06;FIGURINHAS;;1.50;1.50;NAO;5;SIM;https://images.tcdn.com.br/img/img_prod/1457323/015_mex_06_9739_1_ce578142b4093f2752d7aa5998315d90.png;https://www.mgafigurinhas.com.br/figurinhas/015-mex-06;
9741;016 - MEX 07;FIGURINHAS;;1.50;1.50;NAO;15;SIM;https://images.tcdn.com.br/img/img_prod/1457323/016_mex_07_9741_1_f930cb1aeda9262cca0fb3822c08611d.png;https://www.mgafigurinhas.com.br/figurinhas/016-mex-07;
9751;017 - MEX 08;FIGURINHAS;;1.50;1.50;NAO;4;SIM;https://images.tcdn.com.br/img/img_prod/1457323/017_mex_08_9751_1_d6b3119c28ef808dac1fe748bd6adc7e.png;https://www.mgafigurinhas.com.br/figurinhas/017-mex-08;
9757;019 - MEX 10;FIGURINHAS;;1.50;1.50;NAO;10;SIM;https://images.tcdn.com.br/img/img_prod/1457323/019_mex_10_9757_1_5e13dd653287d24a92f235d3fd9075bc.png;https://www.mgafigurinhas.com.br/figurinhas/019-mex-10;
9753;020 - MEX 11;FIGURINHAS;;1.50;1.50;NAO;13;SIM;https://images.tcdn.com.br/img/img_prod/1457323/020_mex_11_9753_1_32f333e712a75832629277bca80e2da3.png;https://www.mgafigurinhas.com.br/figurinhas/020-mex-11;
9761;022 - MEX 13;FIGURINHAS;;3.00;3.00;NAO;3;SIM;https://images.tcdn.com.br/img/img_prod/1457323/022_mex_13_9761_1_460e2c0894375aa91220ec4747109f0f.png;https://www.mgafigurinhas.com.br/figurinhas/022-mex-13;
9769;024 - MEX 15;FIGURINHAS;;1.50;1.50;NAO;21;SIM;https://images.tcdn.com.br/img/img_prod/1457323/024_mex_15_9769_1_9eff48aafb9f84ebad91487691a697e0.png;https://www.mgafigurinhas.com.br/figurinhas/024-mex-15;
9771;025 - MEX 16;FIGURINHAS;;1.50;1.50;NAO;19;SIM;https://images.tcdn.com.br/img/img_prod/1457323/025_mex_16_9771_1_a459de18c41cce3f687cf8521a382c41.png;https://www.mgafigurinhas.com.br/figurinhas/025-mex-16;
9775;027 - MEX 18;FIGURINHAS;;1.50;1.50;NAO;4;SIM;https://images.tcdn.com.br/img/img_prod/1457323/027_mex_18_9775_1_d9f7cd27dafe81ffa556ebec6f647552.png;https://www.mgafigurinhas.com.br/figurinhas/027-mex-18;
9777;028 - MEX 19;FIGURINHAS;;1.50;1.50;NAO;15;SIM;https://images.tcdn.com.br/img/img_prod/1457323/028_mex_19_9777_1_51e91125d198646d141495d173bd19f5.png;https://www.mgafigurinhas.com.br/figurinhas/028-mex-19;
9785;029 - MEX 20;FIGURINHAS;;1.50;1.50;NAO;9;SIM;https://images.tcdn.com.br/img/img_prod/1457323/029_mex_20_9785_1_eef5637de78a08b1784ce218b5033ecb.png;https://www.mgafigurinhas.com.br/figurinhas/029-mex-20;
9783;030 - RSA 01;FIGURINHAS;;10.00;10.00;NAO;1;SIM;https://images.tcdn.com.br/img/img_prod/1457323/030_rsa_01_9783_1_9d04aeb93bccbac9c7333ef6f5aad25a.png;https://www.mgafigurinhas.com.br/figurinhas/030-rsa-01;
9787;031 - RSA 02;FIGURINHAS;;1.50;1.50;NAO;56;SIM;https://images.tcdn.com.br/img/img_prod/1457323/031_rsa_02_9787_1_e382558225f6dc6585a95a7819e7dd03.png;https://www.mgafigurinhas.com.br/figurinhas/031-rsa-02;
9789;032 - RSA 03;FIGURINHAS;;1.50;1.50;NAO;71;SIM;https://images.tcdn.com.br/img/img_prod/1457323/032_rsa_03_9789_1_48360185686064d74fab6cc47817a911.png;https://www.mgafigurinhas.com.br/figurinhas/032-rsa-03;
9791;033 - RSA 04;FIGURINHAS;;1.50;1.50;NAO;56;SIM;https://images.tcdn.com.br/img/img_prod/1457323/033_rsa_04_9791_1_239921a7af2a3606c3132ec093daecd5.png;https://www.mgafigurinhas.com.br/figurinhas/033-rsa-04;
9793;034 - RSA 05;FIGURINHAS;;1.50;1.50;NAO;68;SIM;https://images.tcdn.com.br/img/img_prod/1457323/034_rsa_05_9793_1_3caa6b02c2a1e99156a7e38883bbdb75.png;https://www.mgafigurinhas.com.br/figurinhas/034-rsa-05;
9795;035 - RSA 06;FIGURINHAS;;1.50;1.50;NAO;2;SIM;https://images.tcdn.com.br/img/img_prod/1457323/035_rsa_06_9795_1_683933f2f0bd16ccdc936862a0ad885f.png;https://www.mgafigurinhas.com.br/figurinhas/035-rsa-06;
9797;036 - RSA 07;FIGURINHAS;;1.50;1.50;NAO;13;SIM;https://images.tcdn.com.br/img/img_prod/1457323/036_rsa_07_9797_1_37d6ade7c9ea80abaf7e7c999b514d02.png;https://www.mgafigurinhas.com.br/figurinhas/036-rsa-07;
9799;037 - RSA 08;FIGURINHAS;;1.50;1.50;NAO;12;SIM;https://images.tcdn.com.br/img/img_prod/1457323/037_rsa_08_9799_1_26eca06b539bded3356425bca6ebbb34.png;https://www.mgafigurinhas.com.br/figurinhas/037-rsa-08;
9801;038 - RSA 09;FIGURINHAS;;1.50;1.50;NAO;20;SIM;https://images.tcdn.com.br/img/img_prod/1457323/038_rsa_09_9801_1_27bf97fadf4dd4532502a043e019e5bb.png;https://www.mgafigurinhas.com.br/figurinhas/038-rsa-09;
9803;039 - RSA 10;FIGURINHAS;;1.50;1.50;NAO;11;SIM;https://images.tcdn.com.br/img/img_prod/1457323/039_rsa_10_9803_1_e89a0e046901d5f1f2ab147403b23b9b.png;https://www.mgafigurinhas.com.br/figurinhas/039-rsa-10;
9845;040 - RSA 11;FIGURINHAS;;1.50;1.50;NAO;17;SIM;https://images.tcdn.com.br/img/img_prod/1457323/040_rsa_11_9845_1_cf90e8672ee3d65c73bc4dd7d25cb178.png;https://www.mgafigurinhas.com.br/figurinhas/040-rsa-11;
9805;041 - RSA 12;FIGURINHAS;;1.50;1.50;NAO;13;SIM;https://images.tcdn.com.br/img/img_prod/1457323/041_rsa_12_9805_1_d7166914a2381841a5976934d16df06c.png;https://www.mgafigurinhas.com.br/figurinhas/041-rsa-12;
9813;042 - RSA 13;FIGURINHAS;;3.00;3.00;NAO;55;SIM;https://images.tcdn.com.br/img/img_prod/1457323/042_rsa_13_9813_1_75e1eaceea7c2ac5d8d093d3a1b85b2b.png;https://www.mgafigurinhas.com.br/figurinhas/042-rsa-13;
9815;043 - RSA 14;FIGURINHAS;;1.50;1.50;NAO;13;SIM;https://images.tcdn.com.br/img/img_prod/1457323/043_rsa_14_9815_1_ed86f8e6769b0cf8cb5cdc6e56f7ee8d.png;https://www.mgafigurinhas.com.br/figurinhas/043-rsa-14;
9823;046 - RSA 17;FIGURINHAS;;1.50;1.50;NAO;6;SIM;https://images.tcdn.com.br/img/img_prod/1457323/046_rsa_17_9823_1_90e53048bd2a88796eb05d287625f6d4.png;https://www.mgafigurinhas.com.br/figurinhas/046-rsa-17;
9825;047 - RSA 18;FIGURINHAS;;1.50;1.50;NAO;5;SIM;https://images.tcdn.com.br/img/img_prod/1457323/047_rsa_18_9825_1_f5237f1730b84ed23b7b1fa5a5a84bf6.png;https://www.mgafigurinhas.com.br/figurinhas/047-rsa-18;
